,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
0,112,0.001,10,10,10,5,64,True,False,3,3,True,0.051875803619623184,0.005187580361962318,0.03482553815203054,97.0,212.43596447945998,322.07543522854274,1240.1395935988862,11.067094105478839,13.600518709732016,28.553704690915623,0.0012191582588154171,0.0014992517028920413,0.006662221823348671,0.027210319479760634,0.029570937622433395,0.06645787973342938
1,31,0.005,10,10,10,5,64,True,False,3,3,True,0.05650070061286291,0.00565007006128629,0.03851254124726568,37.0,249.84708718935443,435.98460143963877,2974.002424942775,12.160541205883806,14.914609960958254,47.166643158894,0.001433858624335375,0.0020294955300743747,0.015976801289479786,0.029898743798978052,0.03242810147401433,0.10977892824816635
2,116,0.005,24,5,5,10,32,True,False,3,3,True,0.009175236647327742,0.0018350473294655484,0.008607903961092234,39.0,435.8947708538531,474.85251819176466,456.56744880484064,16.40975932202309,17.15201239207434,17.51650249865628,0.0023207724532950005,0.0022104245423635017,0.002452750994290138,0.03859339318939645,0.037292775324980876,0.040769127124032224
3,188,0.005,10,10,10,10,32,True,False,3,3,True,0.04542688714961211,0.0045426887149612105,0.03665627858468464,59.0,236.0428843063178,572.9400411608692,2315.6844453121157,11.813701774542876,17.935361233896497,44.4912490929216,0.0013546370669476901,0.002667019084382954,0.012440215220269292,0.029045980494987255,0.03899597210978828,0.10355202988241796
4,84,0.005,10,10,10,32,64,True,False,3,3,True,0.04317024846871694,0.004317024846871694,0.03398745360651186,36.0,216.15400703610894,528.1729495988058,388.85126567085047,11.148481869919419,17.949481430111376,15.452037629063783,0.0012404958995518756,0.002458629586406116,0.0020889691785995874,0.027410425040539713,0.039026672956601414,0.035964147892706126
5,129,0.001,10,10,10,10,32,True,False,3,3,True,0.05873256176710129,0.005873256176710129,0.04651542939245701,35.0,308.90514069657013,486.9950401974059,401.5779588753295,13.409598124607964,18.15421019948439,15.436954203986208,0.0017727895292756562,0.0022669476260983533,0.002157338944103073,0.03296976113044396,0.03947180463119813,0.035929041679322454
6,100,0.005,10,5,5,10,32,True,False,3,3,False,0.025540510192513466,0.005108102038502693,0.032967672151114256,98.0,583.8452854736553,672.8797078473983,863.4043285682111,19.978586538906754,19.73026130312965,26.444806428657948,0.0033506558242141445,0.003132235301074301,0.004638341675285101,0.04912072828662164,0.04289853488100193,0.0615494831312978
7,177,0.005,10,5,5,10,32,True,False,3,3,False,0.025540510192513466,0.005108102038502693,0.032967672151114256,98.0,583.8452854736553,672.8797078473983,863.4043285682111,19.978586538906754,19.73026130312965,26.444806428657948,0.0033506558242141445,0.003132235301074301,0.004638341675285101,0.04912072828662164,0.04289853488100193,0.0615494831312978
8,40,0.005,10,5,5,32,32,True,False,3,3,False,0.027273517102003098,0.00545470342040062,0.026564994028636386,82.0,531.8412296690091,746.0992073643217,749.9623868599789,18.918468146488586,19.955797044057697,24.633972593795423,0.0030522074222145744,0.003473069923428394,0.004028914007921968,0.046514248223369255,0.043388906128522094,0.05733482242379227
9,218,0.005,10,5,5,32,32,True,False,3,3,False,0.027273517102003098,0.00545470342040062,0.026564994028636386,82.0,531.8412296690091,746.0992073643217,749.9623868599789,18.918468146488586,19.955797044057697,24.633972593795423,0.0030522074222145744,0.003473069923428394,0.004028914007921968,0.046514248223369255,0.043388906128522094,0.05733482242379227
10,255,0.001,24,5,5,10,32,True,False,3,3,True,0.009205840450401107,0.0018411680900802213,0.005517938689860914,99.0,229.44923647831536,671.2814402980445,824.850805289824,11.315021898855571,20.09731681460426,24.012573395958245,0.0012216238942379539,0.003124795412517307,0.004431226181611629,0.02661130370773331,0.04369660559179175,0.05588853467923031
11,220,0.005,10,10,10,32,32,True,False,3,3,False,0.06607970347007115,0.006607970347007115,0.051017526004995616,96.0,583.088699894128,678.995910366942,1214.3878864278875,19.639396655787905,20.300649104042662,32.505966236653826,0.00334631382138971,0.0031607060443837117,0.006523879667039287,0.04828677268852137,0.04413870096888256,0.07565664834594124
12,87,0.005,10,5,5,10,64,True,False,3,3,False,0.023923770835002262,0.004784754167000452,0.029043435917368958,78.0,543.0720075928261,731.6262182320226,862.468273050895,19.181933335052136,20.339696466355104,26.13755005829094,0.0031166602359944525,0.0034056985835833036,0.004633313040180216,0.047162021874183384,0.044223599724577484,0.06083435326880829
13,279,0.005,10,5,5,10,64,True,False,3,3,False,0.023923770835002262,0.004784754167000452,0.029043435917368958,78.0,543.0720075928261,731.6262182320226,862.468273050895,19.181933335052136,20.339696466355104,26.13755005829094,0.0031166602359944525,0.0034056985835833036,0.004633313040180216,0.047162021874183384,0.044223599724577484,0.06083435326880829
14,101,0.005,10,5,5,32,64,True,False,3,3,False,0.019100253159801166,0.0038200506319602335,0.0383925624191761,85.0,1077.6160323251656,606.7329102748915,1336.1625477013856,25.89572392606187,20.671603345114086,27.629356419762896,0.0061843788496940425,0.0028243238987934504,0.007178071993495721,0.06366900963090144,0.044945248495312624,0.06430648722933811
15,39,0.005,10,5,5,32,64,True,False,3,3,False,0.019100253159801166,0.0038200506319602335,0.0383925624191761,85.0,1077.6160323251656,606.7329102748915,1336.1625477013856,25.89572392606187,20.671603345114086,27.629356419762896,0.0061843788496940425,0.0028243238987934504,0.007178071993495721,0.06366900963090144,0.044945248495312624,0.06430648722933811
16,192,0.001,24,5,5,32,32,True,False,3,3,True,0.00993064728875955,0.00198612945775191,0.007547827138166342,55.0,365.9842307586576,681.773197897558,120.34489250971322,15.144300024493845,20.966387455047123,8.293353377941042,0.0019485577205279872,0.0031736342363668795,0.000646511387383448,0.03561721497274345,0.04558618305913017,0.01930252789766322
17,181,0.005,24,5,5,10,64,True,False,3,3,True,0.011884533800184727,0.0023769067600369455,0.006052241111839456,77.0,245.6178782604316,748.833750601599,1176.470278608414,12.303534623688343,22.032626572866292,29.740472447594932,0.0013077082911249057,0.0034857991419799754,0.0063201804096266745,0.02893614342741114,0.04790445423073391,0.06922004561343156
18,88,0.005,10,10,10,5,32,True,False,3,3,True,0.03492880736788114,0.0034928807367881143,0.037176204712263176,45.0,237.28231183365835,745.7375276954563,13686.918216607579,11.924078145781435,22.634154113746465,98.2572315203391,0.001361750073023959,0.003471386315179714,0.0735282428750232,0.029317359440155077,0.04921232592071696,0.22869071968079627
19,97,0.005,10,10,10,10,64,True,False,3,3,False,0.06527423486113548,0.006527423486113548,0.06812305987945624,99.0,534.2018519953808,845.9472627211624,1549.0249233905668,18.333313018974216,22.87085972279197,36.18331565138774,0.0030657549032740653,0.003937859692067464,0.008321601618713858,0.045075545541966765,0.04972698326205469,0.08421556732992637
20,185,0.001,10,5,5,32,64,True,False,3,3,False,0.026703268910447758,0.005340653782089552,0.02644391929996865,83.0,595.0697463315838,918.2709023346064,875.2931826904173,20.067674382527663,23.252133069719587,25.621077119102775,0.0034150723847020327,0.004274524112850949,0.004702210439572929,0.04933976579218399,0.05055596711184163,0.05963227820185356
