,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
0,84,0.005,10,10,10,32,64,True,False,3,3,True,0.6108620390295982,0.061086203902959824,1.043073010444641,6.0,8.554138242523893,4.717746275576088,11.20657730551374,2.382871584647187,1.6451595229403069,2.7186366848213965,0.003104128422900323,0.0015330603742992465,0.00371536910498053,0.04547878578247667,0.02968401117307047,0.049555899645914614
1,31,0.005,10,10,10,5,64,True,False,3,3,True,0.6398540884256363,0.06398540884256362,1.106400603055954,2.0,9.77545671739292,4.909615790206249,11.013150954448179,2.5699884429540223,1.648552020599624,2.704435242748765,0.0035473208619011282,0.001595409541196657,0.003651241560124839,0.049050043071394565,0.029745222828851912,0.04929703267700043
2,104,0.005,10,10,10,32,32,True,False,3,3,True,0.6193007044494152,0.06193007044494152,0.997553014755249,4.0,7.516414791249163,4.616401589304258,14.325315649045356,2.20857144107624,1.6534664414264366,3.1536597445654495,0.0027275590048145937,0.001500127801499926,0.004749339047112146,0.042152144539032696,0.029833894912439013,0.05748559441266911
3,158,0.005,24,12,12,10,64,True,False,3,3,True,0.4202747792005539,0.03502289826671282,0.5794380638334486,5.0,9.48121466234577,4.789783792683054,10.621907556479822,2.4920606671690377,1.6662061106513884,2.6745402137885703,0.0034652010132246087,0.0015564694040538422,0.0035215308024411306,0.047735877308035704,0.030063759845499617,0.048752099599574376
4,199,0.005,96,5,5,10,64,True,False,3,3,True,0.026549602975137532,0.0053099205950275065,0.015091484226286412,16.0,2.960337327392281,5.298266463347339,6.3321818657908695,1.3547227921524667,1.6947155700332814,1.9971085866292313,0.0010528332576773324,0.0017217039435730493,0.0020993379360977737,0.025581998634215834,0.030578162916466138,0.036403728844516196
5,263,0.001,48,24,24,10,64,True,False,3,3,True,0.42188745737075806,0.017578644057114918,0.24008651130965777,37.0,3.128951167702274,5.4856354711146595,20.490064599728548,1.3082511112855995,1.6988199061533067,3.8790881053132065,0.001121457550379201,0.0017825906433659013,0.006793167164021698,0.024813994935100687,0.030652218445760417,0.07070886004659029
6,148,0.001,48,5,5,10,64,True,False,3,3,True,0.05047098989598453,0.010094197979196907,0.07205512886866927,21.0,4.761782401231846,5.407668130561478,21.650984390584174,1.7362411846258703,1.708415877682039,3.8452311240302186,0.0017066858959789238,0.0017572546813811756,0.007178052344101016,0.032931812241368895,0.03082536088094887,0.07009170764217344
7,147,0.005,48,24,24,10,32,True,False,3,3,True,0.36926308025916416,0.015385961677465173,0.22459976162229264,17.0,3.7827694741813445,4.515081463659414,40.29975949209953,1.5435907892573664,1.716286264835948,5.6126603512593745,0.0013557946931079378,0.0014672032098258724,0.013360768169726957,0.02927775386245298,0.030967368179910054,0.1023087912653125
8,9,0.005,48,48,48,10,64,True,False,3,3,False,0.5795202255249023,0.012073338031768799,0.8012043784062067,4.0,10.559612341990322,5.019818451301395,11.536004542970836,2.719654250576155,1.730560201572863,2.8780324982150076,0.00378470495552625,0.001631220566842937,0.0038245856612063984,0.051584505617354115,0.031224916272769167,0.05246140113370597
9,5,0.005,48,48,48,5,64,True,False,3,3,True,0.7408736348152161,0.015434867391983667,0.9861902495225271,13.0,5.590498564763553,5.181724273072307,8.237805052344834,1.9788678482420594,1.7361405051382712,2.3238513629684463,0.002003708747695844,0.0016838328493241587,0.002731118123753614,0.03753378563176502,0.03132560303966011,0.04235966710014869
10,66,0.005,96,48,48,32,32,True,False,3,3,True,0.25003764033317566,0.005209117506941159,0.04759895180662473,30.0,1.0827197062977012,4.4455120147232625,3.394888988309576,0.7801448638621112,1.7484837284573111,1.4973179878733172,0.00038506534542027867,0.0014445961938491971,0.0011255234598522925,0.014731917819217514,0.03154831480335537,0.02729343731707483
11,227,0.005,48,5,5,10,64,True,False,3,3,True,0.05678734485991299,0.011357468971982598,0.06547339912503958,13.0,5.919994843048653,5.141359184399528,23.25624723522038,1.9926853228838013,1.749054639092807,3.9099677128261994,0.002121804578950387,0.001670715968013759,0.007710252659660352,0.0377958658568979,0.03155861588203289,0.07127174023560666
12,197,0.005,48,5,5,32,64,True,False,3,3,True,0.06503325002267957,0.013006650004535913,0.11434694030322134,3.0,7.353726863174379,6.228949859544741,16.772264887110378,2.2093985855885037,1.7807505706260942,3.2707387977176245,0.002635673128829722,0.0020241351792490833,0.005560587598093846,0.04190633192624388,0.032130513240711776,0.05961973680876094
13,156,0.001,10,10,10,32,64,True,False,3,3,True,0.6486466974020004,0.06486466974020004,0.9381462752819061,5.0,6.852193613970296,5.950113871970179,12.978549316178562,2.084694759204184,1.7872270608639937,3.073796442576817,0.0024865262114428435,0.0019335257275089174,0.00430283929180333,0.03978787064588566,0.03224737012048748,0.056029828807490405
14,39,0.005,10,5,5,32,64,True,False,3,3,False,0.18282585963606834,0.03656517192721367,0.13181472180241888,20.0,1.4273406262948898,5.651335657212816,10.599658847864552,0.9544092689241681,1.8199839241203217,2.627621195051405,0.0005179538232404175,0.0018364359276356822,0.0035141545837829844,0.018215574422840372,0.032838410126843666,0.0478968495409677
15,101,0.005,10,5,5,32,64,True,False,3,3,False,0.18282585963606834,0.03656517192721367,0.13181472180241888,20.0,1.4273406262948898,5.651335657212816,10.599658847864552,0.9544092689241681,1.8199839241203217,2.627621195051405,0.0005179538232404175,0.0018364359276356822,0.0035141545837829844,0.018215574422840372,0.032838410126843666,0.0478968495409677
16,259,0.005,48,48,48,5,64,True,False,3,3,False,0.7407722473144531,0.01543275515238444,0.6983845780293146,5.0,5.888395739455062,6.2250331882270284,5.734188459359095,2.0265891027025837,1.8414650798276946,1.7846055510976797,0.002110479041602269,0.002022862433059356,0.0019010823789665566,0.03843892911397957,0.03322599981473514,0.032530177383208805
17,38,0.005,48,24,24,5,32,True,False,3,3,True,0.3066150446732839,0.012775626861386828,0.8735091718179839,12.0,8.334850460803434,5.20627892133105,36.11706580019216,2.396796745839243,1.8563253964998496,5.381580700389114,0.0029873208239979076,0.0016918120317666774,0.01197406012365265,0.04546076957142918,0.03349412810258849,0.09809662122704499
18,1,0.005,48,48,48,32,64,True,False,3,3,False,0.6212791204452515,0.012943315009276072,1.173280507326126,3.0,8.849904067474672,5.454628292746218,8.843364499409924,2.5570020295399987,1.8576063494851485,2.5089821487601,0.0031719228599816343,0.0017725146719806699,0.002931882085801845,0.048499431693734135,0.03351724064711538,0.04573427125129632
19,191,0.005,96,48,48,10,64,True,False,3,3,True,0.2629835903644562,0.005478824799259503,0.17676804463068643,20.0,2.6780440018126894,4.714687859605909,4.0070520886052075,1.289239991507082,1.8627630038540681,1.653387697630013,0.0009524366579924123,0.0015320665234098336,0.0013284767620107003,0.024345449779809077,0.03361028340908967,0.030138309865750064
20,271,0.005,24,24,24,32,32,True,False,3,3,True,0.8369310845931371,0.034872128524714045,1.020663105779224,16.0,7.424031290042825,6.239128358895207,17.381236114304343,2.116874973883595,1.8649107575474173,3.5246188540925587,0.0027133401852651143,0.002027442744580609,0.005762482683600938,0.040549126817426805,0.03364903584843758,0.0642475175880238
21,10,0.005,48,24,24,32,32,True,False,3,3,True,0.3163411393761635,0.013180880807340145,0.4482142244066511,27.0,5.782278466374287,5.09990254265799,22.568750432067038,1.966561238727236,1.874063376147859,3.9749029081453684,0.0020724452051044382,0.0016572443798881953,0.007482323621866444,0.037300362442948466,0.0338141787595109,0.07245539307185757
22,167,0.005,96,48,48,10,32,True,False,3,3,True,0.3164970576763153,0.006593688701589902,0.10026078671216965,12.0,2.328459443523594,5.936273235832863,3.7808905594930318,1.2074660341335393,1.8801901508588876,1.666686504701842,0.0008281081749065292,0.0019290281285330969,0.0012534963701309148,0.022801265775551947,0.03392472563745257,0.030380723407927815
23,225,0.005,96,48,48,5,32,True,False,3,3,True,0.33580586314201355,0.006995955482125282,0.013437326376636824,98.0,0.27945111418119445,5.872806778038943,5.333906550956329,0.41561731977590066,1.8945001849500835,1.8056981253478404,9.938577748641818e-05,0.001908404316683632,0.001768375041550469,0.00784833751115256,0.03418292504360554,0.03291465740536507
24,107,0.001,96,48,48,32,32,True,False,3,3,True,0.2689938247203827,0.005604038015007973,0.04712252008418242,50.0,1.1111531090484634,4.759166977890249,3.8063844541168588,0.8146558476954766,1.8949169910267856,1.5860493596620688,0.00039517758221435596,0.0015465202836890816,0.0012619484805183024,0.015383608295235753,0.03419044557645679,0.028910852023628968
25,214,0.005,48,24,24,10,64,True,False,3,3,False,0.31254707525173825,0.013022794802155761,0.34014225006103516,12.0,5.561620737421558,5.91569528228234,15.539610385770667,1.9941433292969666,1.9099430897542435,3.3429727669055485,0.0019933585518073574,0.0019223411972464784,0.005151919873190949,0.0378235203059861,0.034461565110030255,0.060936433279491456
26,122,0.005,48,24,24,5,64,True,False,3,3,False,0.35759976009527844,0.014899990003969936,0.337702887398856,8.0,5.763392537475165,6.061878771701268,13.560758581838138,1.92014365447648,1.9148839014858952,3.0506946981513625,0.002065676237989046,0.0019698444121109926,0.0044958618587561065,0.03641994606832295,0.03455071337109631,0.05560872519523314
27,111,0.001,10,5,5,10,32,True,False,3,3,False,0.18492966145277023,0.036985932290554045,0.13673075220801614,24.0,1.734850477190795,6.07554365434362,11.363793307077215,1.0725710259543522,1.9275822124261972,2.7332527860005698,0.0006295430963413138,0.001974284898918622,0.003767491662929612,0.020470774942364996,0.034779832066624,0.049822325111036014
28,154,0.001,10,5,5,10,32,True,False,3,3,False,0.18492966145277023,0.036985932290554045,0.13673075220801614,24.0,1.734850477190795,6.07554365434362,11.363793307077215,1.0725710259543522,1.9275822124261972,2.7332527860005698,0.0006295430963413138,0.001974284898918622,0.003767491662929612,0.020470774942364996,0.034779832066624,0.049822325111036014
29,224,0.005,48,24,24,32,64,True,False,3,3,True,0.4049033522605896,0.0168709730108579,0.7053355617182595,14.0,11.88086569070282,7.068379297624623,14.55319085759848,2.766393656432839,1.934235456126853,3.0836061386304845,0.004258259659470554,0.002296912885672773,0.004824887583169869,0.052471026079819204,0.03489987815187807,0.056208642076621435
30,159,0.005,10,10,10,10,32,True,False,3,3,False,0.7385348845273256,0.07385348845273257,0.3970916345715523,34.0,2.4202208952386353,6.467343226532288,16.054865974110374,1.2363356476468024,1.9477292125839711,3.454518290777055,0.0008782505329713847,0.002101602555211297,0.005322744973656193,0.023596338315853296,0.03514334926325328,0.06296970930265028
31,121,0.005,96,48,48,32,32,True,False,3,3,False,0.32404351234436035,0.006750906507174174,0.050718557089567184,22.0,1.0910021074117737,5.735178683026463,7.309494140159349,0.8333026588996855,1.9492772226352126,2.2484739570144487,0.00038801095140431047,0.0018636812293174806,0.0024233508555750152,0.01573572660425204,0.035171280383011774,0.040985671381676636
32,130,0.001,10,5,5,32,32,True,False,3,3,False,0.2005649320781231,0.04011298641562462,0.14022023061459715,25.0,2.805336096876886,6.377087524146694,12.248916656205186,1.3698894205547514,1.9636682071905027,2.9511987177530923,0.001018001260584546,0.0020722734152365105,0.004060940755885849,0.02614530632053134,0.03543094039796719,0.05379509086618984
33,160,0.001,10,5,5,32,32,True,False,3,3,False,0.2005649320781231,0.04011298641562462,0.14022023061459715,25.0,2.805336096876886,6.377087524146694,12.248916656205186,1.3698894205547514,1.9636682071905027,2.9511987177530923,0.001018001260584546,0.0020722734152365105,0.004060940755885849,0.02614530632053134,0.03543094039796719,0.05379509086618984
34,28,0.005,48,5,5,5,64,True,False,3,3,True,0.05861020996235311,0.011722041992470622,0.038873943500220776,21.0,4.072693795776121,7.061936393238509,22.781872895260303,1.5810695310739369,1.9660070857782477,4.00608288553026,0.0014597074108413349,0.002294819224667541,0.00755298111110145,0.029988624506160237,0.03547314135001042,0.07302374846810246
35,281,0.001,48,48,48,5,64,True,False,3,3,False,0.7227542400360107,0.015057380000750223,0.45244745165109634,12.0,3.798619057608958,6.393167262508228,15.61162920619438,1.6027308216262357,2.0245032916372967,3.537601036663594,0.0013614753937812932,0.00207749862411194,0.00517579661031458,0.0303994807625897,0.03652860254030209,0.06448415963006902
36,174,0.005,48,24,24,32,64,True,False,3,3,False,0.41528208553791046,0.01730342023074627,0.3831222355365753,10.0,7.529359672753626,7.133914590433282,12.95480757045237,2.295431572530598,2.081612981777248,3.083226164040345,0.0026986222545399828,0.002318208978055525,0.0042949680795531815,0.04353814563831851,0.03755904649212938,0.05620171581730842
37,149,0.001,96,48,48,10,32,True,False,3,3,True,0.3530084192752838,0.00735434206823508,0.03944369591772556,49.0,0.9517174660429247,6.6795653928312095,4.605871784595234,0.743311191611602,2.102665635356323,1.7777072561991774,0.0003384748727419641,0.0021705654401771896,0.001527006262792401,0.014036366700815992,0.03793890461248183,0.03240443376633395
38,276,0.005,96,48,48,5,64,True,False,3,3,True,0.3458889424800873,0.007206019635001819,0.0980839009086291,19.0,2.0430607218167105,6.648399520500845,4.373574783699885,1.171112212207071,2.1033728103136595,1.7821049182315416,0.0007266071523266833,0.0021604379002228883,0.0014499917491922873,0.02211477594290228,0.03795166434127541,0.03248459530449359
39,74,0.001,48,48,48,32,64,True,False,3,3,False,0.7550962567329407,0.015731172015269596,0.8547824521859487,2.0,10.686572708914866,6.788616952003735,11.111867940561426,2.754131217706389,2.112480038574408,2.761561072181552,0.0038302092329838625,0.002206002408245705,0.003683969665267298,0.05223844069171959,0.03811598826347147,0.05033833469663636
40,155,0.005,96,5,5,32,64,True,False,3,3,False,0.041077374247834086,0.008215474849566817,0.016531611699610947,14.0,3.5638394269680638,8.87336022236223,6.812172897828358,1.570111536010494,2.1243403752644854,2.1120344649420844,0.001267466595450087,0.0028834524260475543,0.002258471612909371,0.02964930641343078,0.038329987186928705,0.03849862270223095
41,244,0.001,48,5,5,5,64,True,False,3,3,True,0.048299569403752685,0.009659913880750538,0.043543018866330385,52.0,3.308162564514994,6.892446735090937,31.79741927852616,1.4998929674197468,2.126201777622618,4.91107875612047,0.0011856892891625246,0.0022397425283846666,0.010541947463961438,0.028448924044996847,0.03836357291987795,0.08952020965150694
42,86,0.005,96,48,48,32,64,True,False,3,3,True,0.3397409915924072,0.007077937324841817,0.10576649010181427,28.0,1.9705016995405542,6.570993764638643,3.8361822232453124,1.1082642282529558,2.1296971821242816,1.7254107125864826,0.0007008017986293122,0.0021352844286024733,0.001271827474594641,0.020927981826060957,0.03842664134870505,0.031451161016956206
43,62,0.005,24,24,24,10,64,True,False,3,3,True,0.6934128403663635,0.028892201681931812,0.5328358163436254,27.0,6.43655176457002,8.872056303563436,31.59912152904931,2.008312456879282,2.147533369149758,4.783608235309912,0.0023524354727290186,0.002883028709695515,0.01047620488155575,0.03846959197293343,0.03874846398509168,0.08719664932718375
44,113,0.005,48,24,24,10,64,True,False,3,3,True,0.32121510803699493,0.013383962834874788,0.35345710813999176,35.0,7.5492470758603485,6.486339277249397,33.28706438476224,2.3446489850338272,2.153448996742415,5.161882471905399,0.0027057501632787593,0.002107775437541435,0.011035816488750292,0.044471667203130144,0.03885520108450822,0.09409191422669069
45,13,0.005,96,5,5,5,64,True,False,3,3,True,0.026068823877722025,0.005213764775544405,0.03212398700416088,4.0,4.5295310358542356,7.123284422168098,4.738225105651798,1.7541616199462398,2.161412781682508,1.7713321039411758,0.0016109113215249024,0.0023147546401603622,0.0015708859797290955,0.033124828507800075,0.03899889358231485,0.032288226107072666
46,171,0.005,24,5,5,32,64,True,False,3,3,False,0.17406203178688884,0.03481240635737777,0.11805325336754321,10.0,4.5276458067835055,8.587473704635743,11.01389659647454,1.7894166814300403,2.169488592257445,2.833520225948758,0.001654767178671456,0.0027905518616102784,0.003651488766321039,0.03427660340818772,0.03914460738574565,0.05165002177222177
47,40,0.005,10,5,5,32,32,True,False,3,3,False,0.189974844455719,0.0379949688911438,0.12257376829670234,28.0,1.2617025656471,7.214076239869248,11.053475460543188,0.9165773611220102,2.1775827407836914,2.6628071149190267,0.0004578470307858699,0.0023442579940708558,0.003664610532651828,0.01749352576450636,0.03929065206526717,0.04853822612638798
48,218,0.005,10,5,5,32,32,True,False,3,3,False,0.189974844455719,0.0379949688911438,0.12257376829670234,28.0,1.2617025656471,7.214076239869248,11.053475460543188,0.9165773611220102,2.1775827407836914,2.6628071149190267,0.0004578470307858699,0.0023442579940708558,0.003664610532651828,0.01749352576450636,0.03929065206526717,0.04853822612638798
49,72,0.001,48,48,48,32,32,True,False,3,3,False,0.7659030556678772,0.01595631365974744,0.26667989045381546,15.0,3.301960151795348,7.014132301197777,8.579493761529296,1.3871938873708487,2.1920399994851816,2.259167411917785,0.001183466262275172,0.002279284993923424,0.0028443997831769617,0.02631132647110618,0.039551507880671626,0.041180593998963635
50,141,0.005,48,48,48,10,32,True,False,3,3,False,0.8609362840652466,0.01793617258469264,0.46558692554632825,6.0,3.6151254489496583,7.841165008504043,6.402353331274826,1.5025510252144372,2.2075121323587927,1.9487910418625645,0.0012957088535420565,0.002548034307209849,0.0021226022109787426,0.028499340231985474,0.03983067531622259,0.03552298614985516
51,41,0.001,48,24,24,32,32,True,False,3,3,False,0.4515807131926219,0.01881586304969258,0.21437507654939378,13.0,4.696133110332473,7.906009264673085,16.897372341268955,1.6013353055123465,2.2313928180686187,3.2534357660276543,0.0016831563204086513,0.0025691058430294665,0.005602065058812816,0.030373011585928446,0.04026156030430213,0.059304333391016435
52,61,0.001,96,48,48,32,64,True,False,3,3,True,0.40336140990257263,0.008403362706303596,0.10543735325336456,19.0,1.8766011157654774,7.4439939192306435,3.928994603046489,1.092534948997578,2.2343418499068273,1.7084471837982127,0.0006674063958152677,0.002418971143738226,0.0013025979979285898,0.020630956927122825,0.04031477039901602,0.031141946131802354
53,215,0.005,96,5,5,32,64,True,False,3,3,True,0.029038628097623587,0.005807725619524718,0.03782098777592182,5.0,6.04360072761943,8.210847731855411,6.675216359618353,2.1006228881153635,2.2409418237620384,2.083426066504585,0.002149384728315963,0.0026681649588235386,0.002213065769812194,0.039667253083848476,0.040433855323564805,0.03797714260527118
54,103,0.001,48,48,48,10,32,True,False,3,3,False,0.8786503672599792,0.0183052159845829,0.8425932029883066,4.0,10.127886549043284,7.888365828262241,10.433593655679168,2.68824777833125,2.2462173592696093,2.6788308555881293,0.0036299687118956266,0.002563372500952983,0.0034590982121863985,0.05098880954915156,0.04052904308667655,0.048830310349698744
55,2,0.005,48,5,5,5,32,True,False,3,3,True,0.06144609581679106,0.012289219163358211,0.12292034924030304,2.0,9.94114258111037,8.48548330931392,11.17270399626264,2.5491937754704406,2.2466217567180764,2.7125166193644206,0.0035630371998324555,0.00275740946172403,0.0037041389279832172,0.048351330174643055,0.04053633972764739,0.049444341764236045
56,139,0.001,24,5,5,5,32,True,False,3,3,True,0.11826188443228602,0.023652376886457206,0.11108623109757901,14.0,3.9453387366327215,7.212046839965525,48.76669854865565,1.6162315294340062,2.2512296073738187,6.182222723431057,0.0014419451805040696,0.0023435985282169772,0.016167852163963454,0.03095921018571549,0.040619480291490366,0.11269089782446211
57,120,0.005,48,5,5,32,32,True,False,3,3,True,0.057962086983025074,0.011592417396605015,0.1077270160894841,7.0,9.750930285381072,8.495832756778467,12.802148227833625,2.5843168987371983,2.2532514056940194,2.9084853712717686,0.003494862593139175,0.002760772577685973,0.004244356212103406,0.049017521088090696,0.040655960087576805,0.053016502714419676
58,56,0.005,48,48,48,32,32,True,False,3,3,False,0.843167781829834,0.017565995454788208,0.8488012353579203,2.0,9.049087743191771,7.5805058848691536,14.789354295115677,2.5862721437569376,2.256060454764401,3.3209563121678505,0.003243312928114036,0.002463331538069213,0.004903183954627164,0.049054606812381815,0.040706644439354366,0.060535112563254646
59,269,0.001,48,5,5,32,64,True,False,3,3,True,0.059655643766745925,0.011931128753349184,0.08727745315991342,12.0,6.603604111796015,8.947392462167088,11.92372300597568,2.0147433936290255,2.25691095878338,2.7073946412404384,0.002366819197222269,0.0029075096530868758,0.0039531277806785035,0.03821424796338219,0.04072199028907294,0.04935097723512563
60,59,0.001,96,48,48,10,64,True,False,3,3,True,0.35530218482017517,0.007402128850420316,0.11050220082203548,26.0,2.0394519994264275,6.792832968878495,3.6875364020292705,1.1174618653345105,2.259075920089605,1.701153687870621,0.0007253237232677518,0.002207372428596637,0.001222546228708904,0.021101666022282754,0.04076105320954183,0.03100899870477999
61,51,0.001,96,5,5,5,64,True,False,3,3,True,0.028635972645133734,0.005727194529026747,0.01994214877486229,14.0,3.5386013194155277,7.978663013057818,4.494091086518978,1.551706582356275,2.2593018575646413,1.7413846969604492,0.0012584907538301883,0.0025927151208894423,0.0014899470839866344,0.02930175523766814,0.04076512985404947,0.031742338271718254
62,198,0.001,10,5,5,5,64,True,False,3,3,False,0.2002762071788311,0.04005524143576622,0.15575453368100253,39.0,1.6404060751176557,8.105218069502433,15.108455613482995,1.0220165740875968,2.2791103900164025,3.478439678615994,0.0005952710814933798,0.0026338399569593414,0.005008977110494404,0.01950590755227477,0.04112253999599686,0.06340575355297472
63,247,0.001,10,5,5,5,64,True,False,3,3,False,0.2002762071788311,0.04005524143576622,0.15575453368100253,39.0,1.6404060751176557,8.105218069502433,15.108455613482995,1.0220165740875968,2.2791103900164025,3.478439678615994,0.0005952710814933798,0.0026338399569593414,0.005008977110494404,0.01950590755227477,0.04112253999599686,0.06340575355297472
64,229,0.001,48,48,48,10,64,True,False,3,3,True,1.3894544839859009,0.028946968416372936,0.7683243627349535,34.0,4.303343367865131,9.05478058133389,15.02314250391621,1.6723282822559802,2.282072787736371,3.5091610398006545,0.0015423752730888945,0.002942406076198364,0.0049806928553741275,0.031719556870811204,0.04117599125454805,0.06396574919356653
