,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
0,227,0.005,48,5,5,10,64,True,False,3,3,True,0.0035231218207627535,0.0007046243641525507,0.0009678984133643098,99.0,47.927218522031346,250.4898102228475,1582.5902120955561,5.001243869613559,13.643124173867587,33.30350335813038,8.600989498176598e-05,0.0003649370270049416,0.0021396640507859773,0.006722954637065391,0.016514070786368882,0.03881793394345225
1,240,0.005,48,5,5,10,32,True,False,3,3,True,0.004068480804562569,0.0008136961609125137,0.0008757781906751916,96.0,67.91366802177662,271.84373453863714,1103.6675902556933,6.329039874766606,13.97416998352667,26.70637578029258,0.00012187745574457656,0.0003960474248600876,0.0014921600353895719,0.008507853062866479,0.01691477914792674,0.03112844675109306
2,120,0.005,48,5,5,32,32,True,False,3,3,True,0.004475011490285397,0.0008950022980570793,0.0033800846431404352,98.0,145.09873002210605,273.8581269698104,2285.752230832921,10.016744572861391,14.405251766936948,38.68401007558785,0.0002603932987567835,0.0003989821805070324,0.003090340026077295,0.01346507411557628,0.017436574229114026,0.04508935086000245
3,233,0.005,24,24,24,32,64,True,False,3,3,True,0.07434084266424179,0.0030975351110100746,0.02147884387522936,94.0,64.51010743093543,369.09330336060077,3904.0517498426684,6.683707748963626,15.571226937430241,53.49343898919875,0.00012340778314420153,0.0005377297092285669,0.005278283106835034,0.00928812088049552,0.01884790760520074,0.06235094124365969
4,7,0.005,24,24,24,10,32,True,False,3,3,True,0.08073558658361435,0.0033639827743172646,0.03464612225070596,80.0,147.89382356265105,410.5623243126184,3627.142417347978,9.940755378179377,15.778331556590835,54.62403346463948,0.0002829207644108521,0.0005981456646942658,0.004903901324654357,0.013814328971861887,0.019098593613582387,0.06366874079142937
5,35,0.005,24,12,12,10,32,True,False,3,3,True,0.025765725411474705,0.002147143784289559,0.010439502308145165,77.0,86.26413779830283,392.96456147093164,2002.6553485879044,7.351899136578501,15.861740405016693,38.21743847107342,0.00016502322557642194,0.0005725075948355765,0.002707592668486106,0.01021668368015344,0.019199554332664053,0.044545523817869054
6,88,0.005,10,10,10,5,32,True,False,3,3,True,0.0527426041662693,0.00527426041662693,0.015607763780280948,99.0,77.60086713734346,324.32686418280394,2402.3042472654033,6.755587041147215,15.880988011215667,41.740147865074576,0.00015453618555753699,0.0004725097659158683,0.00324791850577545,0.009590016346361807,0.01922285224648403,0.048651527294074876
7,62,0.005,24,24,24,10,64,True,False,3,3,True,0.08091653883457184,0.003371522451440493,0.04827521787956357,78.0,167.3271767554694,405.9194436602739,3674.957910499119,10.494094449582766,15.959543256222938,55.642110820213645,0.0003200967532921533,0.0005913814811113169,0.004968547934360497,0.014583285421804324,0.01931793800984426,0.0648553925113108
8,145,0.001,10,5,5,10,32,True,False,3,3,True,0.024159650783985853,0.004831930156797171,0.007515488735710581,99.0,69.33359443138644,397.310865892283,1942.0502784512753,6.488374378916986,16.107863054371848,37.180819283279725,0.00013807254492989606,0.0005788396983753384,0.00262565453385364,0.009210689755921255,0.019497469003950624,0.04333726008886809
9,76,0.001,10,5,5,10,32,True,False,3,3,True,0.024159650783985853,0.004831930156797171,0.007515488735710581,99.0,69.33359443138644,397.310865892283,1942.0502784512753,6.488374378916986,16.107863054371848,37.180819283279725,0.00013807254492989606,0.0005788396983753384,0.00262565453385364,0.009210689755921255,0.019497469003950624,0.04333726008886809
10,202,0.005,24,5,5,32,64,True,False,3,3,True,0.009127992438152432,0.0018255984876304864,0.0031889041187241674,67.0,59.66334787146581,398.321348789606,1969.6823154263316,5.993982818735626,16.12194941356929,38.62369645062615,0.00011413593604167623,0.000580311864544734,0.0026630130842311443,0.008329633650523152,0.019514519580486046,0.045019050438918316
11,269,0.001,48,5,5,32,64,True,False,3,3,True,0.004033222212456167,0.0008066444424912333,0.003356567525770515,99.0,196.8093163899722,357.4419425088791,2595.7317953849647,11.296614045916865,16.536462679776275,38.801085139255896,0.00035319280267335666,0.0005207549149804244,0.003509432805548025,0.015185546988534101,0.020016259602257804,0.04522581134102215
12,33,0.001,48,5,5,32,32,True,False,3,3,True,0.008526033721864223,0.0017052067443728447,0.006282028101850301,99.0,344.02199142018395,422.8032277967691,1956.4780150210358,15.244754872831905,16.74703890097261,34.54144023820465,0.0006173797742897662,0.0006159793598908336,0.002645160852695111,0.020492861003226736,0.020271147747996678,0.0402608497688576
13,57,0.005,24,5,5,32,32,True,False,3,3,True,0.008772618602961302,0.0017545237205922604,0.0033492299262434244,67.0,64.3997544271036,446.94129957686124,2104.632195002409,6.209115732696664,16.925059123954384,40.626481508741186,0.000123196677937459,0.0006511459646530071,0.002845465499126653,0.008628596529406238,0.020486629079564212,0.047353458841926856
14,200,0.005,10,5,5,32,32,True,False,3,3,True,0.021904122550040483,0.004380824510008097,0.007643946368868153,72.0,59.53910903952321,427.34940196590014,2244.5998336822017,6.067725067697601,17.024008271188446,39.527983781403194,0.00011856757716608639,0.0006226026524074169,0.0030347019309380175,0.008613549382167046,0.02060640026986123,0.04607307065698749
15,216,0.005,10,5,5,32,32,True,False,3,3,True,0.021904122550040483,0.004380824510008097,0.007643946368868153,72.0,59.53910903952321,427.34940196590014,2244.5998336822017,6.067725067697601,17.024008271188446,39.527983781403194,0.00011856757716608639,0.0006226026524074169,0.0030347019309380175,0.008613549382167046,0.02060640026986123,0.04607307065698749
16,147,0.005,48,24,24,10,32,True,False,3,3,True,0.03499565273523331,0.0014581521973013878,0.014059842564165592,99.0,205.2464535732035,440.32469270854773,4900.465548493121,11.224931761234652,17.178277659817578,54.7843654211951,0.00036833403776804287,0.000641506271775941,0.006625435874737242,0.015089187610594598,0.020793132837235433,0.06385562068906876
17,148,0.001,48,5,5,10,64,True,False,3,3,True,0.008346838178113103,0.0016693676356226207,0.0066871861927211285,99.0,365.74099558454634,536.4824373255234,1887.479238537572,15.211677810381035,17.417903615007504,36.21571397968367,0.0006563565671204756,0.0007815978843361504,0.0025518744160284786,0.020448396946647594,0.0210831837035786,0.04221235159138651
18,28,0.005,48,5,5,5,64,True,False,3,3,True,0.006732592824846506,0.0013465185649693013,0.004462426004465669,90.0,255.6593445127047,446.99870111612705,2223.489504322863,13.4391243604744,17.459073677448313,35.798889608944165,0.0004588047053583294,0.000651229592594066,0.0030061607378450692,0.018065630429721702,0.021133017254659884,0.041726508984517435
19,129,0.001,10,10,10,10,32,True,False,3,3,True,0.061298783868551254,0.006129878386855125,0.016140451732402045,99.0,81.27843067998187,422.73342518432645,1687.6441308198725,7.136559209286302,17.478521923011975,35.250155959498876,0.00016185977178781655,0.0006158776649043616,0.0022816970872414307,0.01013083231064584,0.021156558028738903,0.04108691541600727
20,188,0.005,10,10,10,10,32,True,False,3,3,True,0.05059728305786848,0.005059728305786848,0.014427187115264436,92.0,68.41378967180418,450.20484156572735,1998.9172245718626,6.463790013639171,17.70681965265095,37.43640732823078,0.00013624082417409657,0.0006559005984237901,0.0027025387198938715,0.0091757905734456,0.021432896851106786,0.04363516868241622
21,244,0.001,48,5,5,5,64,True,False,3,3,True,0.008752922993153334,0.0017505845986306666,0.006344681722112,99.0,343.05331395818286,526.9254399088588,1975.7773442686653,14.612106380822524,17.755781077375314,36.13226479923025,0.0006156413916056216,0.0007676743549868781,0.0026712535712522137,0.019642419148385624,0.021492161314538728,0.042115084804176715
