,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
0,49,0.005,24,24,24,10,64,True,False,3,3,False,0.27935466170310974,0.011639777570962906,0.3617699593305588,10.0,423620.0502979561,326864.83082779247,3478785.191625148,501.3833427820563,475.770751953125,1643.7176310221355,0.01365694935916464,0.010773439195365006,0.1426577877231415,0.09146880340137996,0.08715612086237447,0.33558383239751016
1,134,0.001,24,24,24,10,64,True,False,3,3,False,0.2945966124534607,0.01227485885222753,0.31953589618206024,22.0,360985.98166848306,344699.0541595419,983371.6873045167,469.881351274833,478.1293131510417,882.87451171875,0.011637709942074937,0.011361253798039065,0.040326039606630455,0.08572180460413696,0.08758818408606583,0.1802489713421275
2,65,0.001,24,24,24,10,32,True,False,3,3,False,0.2949792444705963,0.012290801852941513,0.36742421239614487,26.0,496201.354376971,345146.7934524119,575894.7580159307,548.607521052035,486.65553792317706,632.19580078125,0.015996874472558216,0.011376011250025854,0.023616253264987216,0.10008404589029138,0.08915009741026533,0.12907003347032156
3,273,0.005,24,24,24,32,64,True,False,3,3,False,0.32114720344543457,0.013381133476893107,0.37294919788837433,9.0,389933.9809524693,375765.12290681404,829833.1448631585,464.26116070527365,494.09145100911456,776.2848103841146,0.012570955098890502,0.012385188988130211,0.03402974144839683,0.0846964970950505,0.09051227727731175,0.15848745963665303
4,110,0.005,24,24,24,32,32,True,False,3,3,False,0.30932819843292236,0.012888674934705099,0.28291456401348114,34.0,337639.7703834395,361936.0304624935,6255971.591587533,440.90721126590915,497.45574951171875,2017.736836751302,0.010885059011072163,0.011929383185472714,0.25654445967610184,0.08043596901675024,0.09112858083465813,0.4119441488411659
5,196,0.005,10,5,5,5,64,True,False,3,3,True,0.13757964223623276,0.02751592844724655,0.025015027029439807,71.0,49961.097941750086,338081.60042646324,994421.6150589297,153.2600932803962,497.6905846489799,901.7764953613281,0.0014022330475195583,0.011143143041856108,0.04077917429621693,0.026139339868758223,0.09117160012393105,0.1841080283912065
6,212,0.005,10,5,5,5,64,True,False,3,3,True,0.13757964223623276,0.02751592844724655,0.025015027029439807,71.0,49961.097941750086,338081.60042646324,994421.6150589297,153.2600932803962,497.6905846489799,901.7764953613281,0.0014022330475195583,0.011143143041856108,0.04077917429621693,0.026139339868758223,0.09117160012393105,0.1841080283912065
7,53,0.005,24,24,24,5,64,True,False,3,3,False,0.32120805978775024,0.013383669157822927,0.30585046112537384,15.0,389467.5591062533,375836.34685779613,1357208.2369552653,494.5196346912249,499.19281005859375,1054.28466796875,0.012555918276319664,0.012387536523970075,0.05565630353658417,0.09021663741899785,0.09144679177626644,0.21524432337863333
8,221,0.005,24,24,24,10,32,True,False,3,3,False,0.334320604801178,0.013930025200049082,0.25955356657505035,36.0,307736.90827837144,391178.9866180122,2773099.4380859635,415.1759837435289,527.6273396809896,1394.4904174804688,0.009921030341570426,0.012893228727485726,0.11371907409690336,0.07574174726925223,0.09665569394240563,0.284701234389447
9,95,0.001,24,24,24,32,64,True,False,3,3,False,0.34782132506370544,0.014492555210987726,0.26952365785837173,64.0,320566.90440450807,406975.7638661365,2062595.2280081313,426.9305610871154,529.8106892903646,1314.3599853515625,0.01033465242402305,0.01341388926699496,0.08458276553100111,0.07788616857798764,0.09705566027421211,0.2683416863758595
10,170,0.005,24,12,12,32,32,True,False,3,3,False,0.23046450316905975,0.019205375264088314,0.14615179846684137,19.0,349308.8005910712,410966.2070753971,1000818.9966874731,448.5241186389265,532.052121606545,855.7561186232206,0.011261253089950391,0.01354541396229072,0.041041517689119074,0.08182554330767736,0.09746626673762308,0.17471243993812907
11,130,0.001,10,5,5,32,32,True,False,3,3,False,0.1684606671333313,0.03369213342666626,0.39193294942379,3.0,738198.8607559261,445665.1445072989,1122377.5745039957,691.9513742582395,538.6585639105903,946.4287682427301,0.020718656731685686,0.014689088219382388,0.04602638362215339,0.11801605856587329,0.09867649641558866,0.19322430272932517
12,160,0.001,10,5,5,32,32,True,False,3,3,False,0.1684606671333313,0.03369213342666626,0.39193294942379,3.0,738198.8607559261,445665.1445072989,1122377.5745039957,691.9513742582395,538.6585639105903,946.4287682427301,0.020718656731685686,0.014689088219382388,0.04602638362215339,0.11801605856587329,0.09867649641558866,0.19322430272932517
13,193,0.001,10,10,10,5,64,True,False,3,3,False,0.3855355679988861,0.03855355679988861,0.8302702754735947,5.0,882214.4712352692,474412.858176823,1127820.3183436764,765.6593233924963,551.6692531121472,948.6122655717154,0.024760670552284383,0.015636610607887843,0.04624957929321174,0.13058734892731486,0.10105991573234693,0.19367008878640782
14,171,0.005,24,5,5,32,64,True,False,3,3,False,0.06906691938638687,0.013813383877277374,0.13461223617196083,6.0,746857.7884434689,462526.67907624965,705662.1610731877,646.6890126329788,554.0274837917751,717.0772281222875,0.024077705925619086,0.01524484307670089,0.028937746147989087,0.11797733412948838,0.1014919184086175,0.14639955172143568
15,198,0.001,10,5,5,5,64,True,False,3,3,False,0.16510532051324844,0.03302106410264969,0.42328496277332306,4.0,868405.2039502312,503672.5248002919,1332824.4432930942,775.5441138095542,554.465668741862,1032.7657348632813,0.02437309278184212,0.016601006925614267,0.05465637457617663,0.13227325352721747,0.1015721892119678,0.2108509860411563
16,247,0.001,10,5,5,5,64,True,False,3,3,False,0.16510532051324844,0.03302106410264969,0.42328496277332306,4.0,868405.2039502312,503672.5248002919,1332824.4432930942,775.5441138095542,554.465668741862,1032.7657348632813,0.02437309278184212,0.016601006925614267,0.05465637457617663,0.13227325352721747,0.1015721892119678,0.2108509860411563
