,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
0,221,0.005,24,24,24,10,32,True,False,3,3,False,0.25843922793865204,0.010768301164110502,0.762474545588096,6.0,916.6316155116228,351.7447242475068,2290.900183389533,20.910548639870086,14.88570086555913,32.09812492653835,0.23816648125608064,0.15331021504747525,0.24188971663149658,0.44614238911338755,0.3931377423489239,0.4052140268822722
1,158,0.005,24,12,12,10,64,True,False,3,3,True,0.09804582181904051,0.008170485151586708,0.2932653737068176,19.0,659.8555956283287,362.45554539415656,3064.3607519864254,18.01238453510162,14.946231489258908,39.15392551908061,0.17144890345094319,0.15797859577966916,0.32355724589360685,0.3843078633908669,0.39473638207433726,0.49428805776494517
2,209,0.001,10,10,10,10,32,True,False,3,3,False,0.24824168781439462,0.024824168781439462,0.5858818880067422,6.0,722.4473471993724,443.9540431113113,4291.42873061444,18.76399954947195,16.487296008477827,46.92399882783724,0.1930808984595799,0.19350024358204335,0.4531199076760843,0.40809564855960373,0.43543655678371257,0.5923792298137074
3,53,0.005,24,24,24,5,64,True,False,3,3,False,0.2757908860221505,0.011491286917589605,0.8325506336987019,13.0,975.6509980395878,456.73159274514376,3236.7911324018805,21.970287853388196,16.79726030573187,39.654694426927065,0.2535013643483972,0.19906942130413544,0.34176368551056313,0.46875272768932696,0.4436228467764914,0.5006098783121052
4,17,0.001,96,5,5,10,64,True,False,3,3,False,0.010048907922787799,0.00200978158455756,0.01574028459643679,31.0,459.4337427645418,464.5704716475564,5327.449779614389,15.2937820546729,16.80047788492427,51.22536655713762,0.1365161812481656,0.20248604741794848,0.562510460692707,0.3535072285922152,0.44370782442255274,0.646680673984678
5,171,0.005,24,5,5,32,64,True,False,3,3,False,0.03355207066569063,0.006710414133138126,0.1351982133090496,2.0,965.6076190815058,525.3481374098226,3501.696128291504,21.033253660588723,17.46095312489218,41.11291591012168,0.2508918141366335,0.22897638647855673,0.3697342600709971,0.4487603936450927,0.4611512586997465,0.5190187978562805
6,73,0.001,96,5,5,5,64,True,False,3,3,False,0.01086589533628689,0.002173179067257378,0.016778727494446293,28.0,456.6600689958792,511.82229343914935,4883.75553647069,15.429993278255747,17.748739747649786,49.07591671809801,0.13569201158956026,0.22308105982574422,0.5156620316239812,0.35665567493333555,0.4687518268000311,0.6195455305190679
7,163,0.001,96,5,5,5,32,True,False,3,3,False,0.010506479017850425,0.002101295803570085,0.014873353271035566,70.0,395.4693519106376,551.6803543434469,6157.581282276638,14.602909384577995,17.756065692257206,56.90430757499192,0.11750979673078961,0.24045345368804258,0.6501617147289057,0.337538092766801,0.4689453081382325,0.7183729165545565
8,186,0.001,96,5,5,10,32,True,False,3,3,False,0.009580772111399306,0.0019161544222798612,0.013123372292500875,53.0,484.8821084899545,575.891055301226,4683.326613421471,14.000422481932338,18.44686815878419,48.498267194942244,0.14407791079579377,0.2510058444260354,0.4944993045210483,0.3236119445808264,0.4871896974721496,0.6122531516047145
9,252,0.005,96,96,96,10,64,True,False,3,3,False,0.33719295263290405,0.003512426589926084,0.27112124462922416,92.0,312.49034306539124,571.5173937699715,4819.4816077145615,12.526673168137776,18.519134930149512,53.20988504816038,0.09285340701255261,0.2490995557351788,0.5088755279926401,0.289547052476521,0.4890982938894766,0.6717336866142349
